51
183	17	188
281	30	225
237	35	46
161	36	8
160	41	174
153	59	160
124	73	328
225	79	222
305	98	55
89	101	120
139	102	121
293	102	233
288	122	56
320	133	233
103	137	96
162	153	314
273	156	70
275	171	250
256	177	65
158	187	80
303	190	239
122	191	82
101	208	89
119	223	76
144	223	253
288	225	233
238	232	243
194	237	59
321	251	207
130	257	248
105	259	59
203	264	238
254	266	221
119	269	246
124	292	233
317	293	203
294	295	200
229	299	205
263	303	197
194	304	208
242	311	194
291	311	183
316	317	20
176	319	204
206	323	194
156	324	204
306	335	183
294	341	6
157	342	193
294	347	188
255	348	180
