46
113	37	152
213	43	211
146	49	8
123	51	158
224	57	45
84	58	328
215	73	221
248	91	46
141	97	142
135	117	340
162	121	186
165	143	52
90	146	90
130	147	98
155	149	98
159	149	58
60	151	101
279	151	226
157	159	76
162	160	68
84	190	91
67	194	96
246	197	46
276	217	221
279	234	211
224	241	233
180	242	52
85	244	84
114	248	65
127	255	248
228	272	224
149	279	55
296	283	188
254	290	200
203	301	218
189	309	217
147	311	229
217	314	203
120	315	233
270	315	187
175	317	218
197	318	21
256	335	183
172	339	203
235	342	3
256	351	186
