65
261	20	27
175	26	163
226	29	191
287	31	208
278	54	205
224	78	186
188	79	352
259	79	203
253	99	24
265	101	201
176	102	134
221	103	20
291	103	45
121	109	312
263	116	42
129	119	124
229	129	187
146	141	110
188	141	113
230	163	138
339	163	225
197	164	98
293	165	56
277	167	59
229	173	87
166	176	98
278	189	68
318	192	235
242	199	256
229	202	53
247	202	259
273	203	83
147	205	94
210	210	68
120	211	105
339	218	51
198	220	260
129	226	98
173	227	76
312	230	58
260	231	308
240	233	28
295	234	73
154	235	87
249	251	20
297	253	262
362	257	225
205	268	59
335	269	218
260	273	14
362	274	221
318	276	177
360	299	203
302	311	174
181	314	233
163	318	46
261	319	198
236	323	217
313	325	179
186	331	224
224	341	203
199	348	191
264	351	186
236	356	6
334	357	177
