42
195	48	11
135	51	346
126	59	149
197	92	23
122	107	322
182	123	35
141	132	336
225	133	45
155	139	359
186	139	203
255	139	44
217	148	55
177	150	46
163	156	73
85	158	108
160	160	113
153	163	128
186	166	84
118	180	52
103	184	82
221	186	84
228	189	70
83	202	79
180	209	302
256	211	56
237	229	148
273	231	233
252	238	242
72	240	239
189	246	335
90	254	200
189	261	345
283	263	218
159	277	349
84	278	186
259	284	194
160	288	0
123	294	194
183	301	3
126	305	186
172	329	8
203	334	188
