40
133	97	332
114	98	311
152	109	346
197	113	20
97	126	104
144	129	336
143	153	321
171	164	354
216	173	212
67	180	270
190	189	121
263	189	68
126	194	262
117	196	69
104	206	79
148	206	281
191	213	107
229	224	263
139	225	264
126	235	253
144	247	271
276	247	104
211	254	125
198	256	294
159	263	293
277	280	290
255	281	294
155	282	301
299	286	312
192	287	307
118	295	273
143	301	287
155	303	314
136	305	284
310	310	145
250	315	318
287	315	328
154	324	322
196	326	328
173	356	333
