44
179	49	349
274	60	218
144	63	128
223	63	191
206	72	20
234	73	35
140	76	311
212	79	186
267	97	53
294	98	62
288	112	235
276	125	239
105	128	305
206	133	39
98	143	312
110	147	124
173	152	332
144	160	308
211	164	207
185	179	20
263	182	73
102	193	300
233	195	82
187	198	122
221	204	257
212	208	84
134	212	297
182	214	113
196	232	101
243	237	84
202	239	270
152	247	298
276	247	76
230	253	97
132	291	315
243	296	329
264	297	246
204	300	314
194	301	312
216	302	314
174	305	329
211	311	352
130	321	330
184	330	357
