43
230	12	14
137	20	332
206	58	10
240	89	45
193	96	356
270	96	55
293	106	53
207	112	48
165	118	322
185	132	18
298	132	63
273	145	66
190	148	82
331	151	239
241	152	76
183	156	131
192	165	98
178	172	122
244	174	262
326	199	242
259	200	98
275	209	93
287	214	84
298	214	70
133	220	315
275	243	135
148	247	329
259	248	301
293	250	256
282	256	326
241	268	322
230	270	329
298	270	186
158	278	340
175	286	340
190	294	349
238	302	357
198	312	354
149	320	357
237	326	11
187	329	4
253	341	195
183	347	11
