44
223	13	8
151	16	336
233	36	17
262	43	201
186	57	153
226	65	24
259	68	37
77	74	305
79	79	125
208	90	6
146	104	121
134	106	309
161	119	117
197	122	354
281	130	245
209	136	160
207	143	118
110	144	107
294	161	79
179	176	288
192	179	97
96	188	290
167	193	91
318	193	84
129	194	98
257	201	94
244	209	97
149	217	84
192	223	263
170	233	259
205	234	273
188	273	80
305	278	101
146	281	73
283	282	281
233	283	280
187	292	260
199	297	260
215	303	267
133	306	253
161	323	248
236	329	278
138	348	239
181	362	232
