41
191	36	191
197	100	197
127	107	340
147	129	155
109	141	323
120	153	332
243	153	239
144	158	3
236	162	59
222	166	242
151	172	31
222	185	63
204	200	242
104	220	128
173	226	208
148	230	321
280	232	239
209	237	229
100	238	311
115	240	319
231	245	235
257	251	239
132	256	346
75	259	312
241	266	222
153	268	177
214	269	212
100	275	333
77	283	329
81	287	156
159	288	177
96	291	336
244	293	204
129	298	354
98	302	352
257	305	203
80	310	352
104	314	177
284	318	197
264	333	191
166	338	183
