42
185	11	11
148	24	354
223	57	45
174	75	31
104	84	323
205	98	222
271	99	236
166	109	45
72	115	302
137	140	13
147	158	170
234	158	62
248	161	242
146	166	63
189	166	69
148	182	93
99	183	118
137	184	117
165	195	96
111	197	121
213	199	246
179	206	96
192	208	70
87	221	298
183	230	115
100	245	305
139	252	308
117	257	311
244	259	233
170	261	346
214	271	212
250	277	224
173	280	150
132	281	328
239	285	217
115	288	319
222	298	200
75	309	329
146	309	328
199	310	14
115	314	338
161	325	346
