62
138	10	174
126	14	359
59	22	329
141	25	20
99	31	357
221	41	211
58	47	113
117	52	166
185	56	28
197	59	205
172	65	38
82	77	90
129	82	115
183	86	51
134	90	49
133	93	65
247	97	35
50	98	90
98	102	69
183	102	65
227	114	41
140	117	32
294	119	200
76	121	73
281	124	205
127	131	49
172	131	311
157	139	15
282	139	197
119	141	243
234	144	201
262	147	207
242	149	187
172	154	6
69	155	70
323	156	183
249	157	160
293	164	173
107	168	58
192	172	357
89	183	68
145	193	35
250	198	156
245	212	338
327	212	156
263	216	158
215	221	179
178	228	20
298	232	152
197	235	193
140	246	214
277	252	153
235	255	166
193	259	183
152	260	200
207	269	346
336	271	148
171	273	177
240	280	163
260	290	332
182	296	156
208	302	149
